module,subroutine,inst_type,inst_name,member_type,member_name,status
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%root_density,r
photosynthesismod,photosynthesishydraulicstress,column_physical_properties,col_pp,real,col_pp%z,r
photosynthesismod,photosynthesishydraulicstress,photo_params_type,params_inst,real,params_inst%krmax,r
photosynthesismod,photosynthesishydraulicstress,vegetation_physical_properties,veg_pp,integer,veg_pp%topounit,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%fnr,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%act25,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%kcha,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%koha,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%cpha,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%vcmaxha,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%jmaxha,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%tpuha,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%lmrha,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%vcmaxhd,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%jmaxhd,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%tpuhd,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%lmrhd,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%lmrse,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%c3psn,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%qe,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%theta_cj,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%bbbopt,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%mbbopt,r
photosynthesismod,photosynthesishydraulicstress,topounit_atmospheric_state,top_as,real,top_as%pbot,r
photosynthesismod,photosynthesishydraulicstress,vegetation_energy_state,veg_es,real,veg_es%t_veg,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%leafcn,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%flnr,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%fnitr,r
photosynthesismod,photosynthesishydraulicstress,vegetation_energy_state,veg_es,real,veg_es%t_a10,r
photosynthesismod,photosynthesishydraulicstress,vegetation_nitrogen_state,veg_ns,real,veg_ns%leafn,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%i_vc,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%s_vc,r
photosynthesismod,photosynthesishydraulicstress,vegetation_physical_properties,veg_pp,logical,veg_pp%active,r
photosynthesismod,photosynthesishydraulicstress,vegetation_phosphorus_state,veg_ps,real,veg_ps%leafp,r
photosynthesismod,photosynthesishydraulicstress,paramssharetype,paramsshareinst,real,paramsshareinst%q10_mr,r
photosynthesismod,photosynthesishydraulicstress,vegetation_energy_state,veg_es,real,veg_es%thm,r
photosynthesismod,photosynthesishydraulicstress,canopystate_type,canopystate_vars,real,tsai_patch,r
photosynthesismod,photosynthesishydraulicstress,soilstate_type,soilstate_vars,real,hk_l_col,r
photosynthesismod,photosynthesishydraulicstress,soilstate_type,soilstate_vars,real,hksat_col,r
photosynthesismod,photosynthesishydraulicstress,surfalb_type,surfalb_vars,integer,nrad_patch,r
photosynthesismod,photosynthesishydraulicstress,canopystate_type,canopystate_vars,real,tlai_patch,r
photosynthesismod,photosynthesishydraulicstress,soilstate_type,soilstate_vars,real,rootfr_patch,r
photosynthesismod,photosynthesishydraulicstress,surfalb_type,surfalb_vars,real,tlai_z_patch,r
photosynthesismod,photosynthesishydraulicstress,soilstate_type,soilstate_vars,real,smp_l_col,r
photosynthesismod,photosynthesishydraulicstress,solarabs_type,solarabs_vars,real,parsun_z_patch,r
photosynthesismod,photosynthesishydraulicstress,canopystate_type,canopystate_vars,real,laisun_z_patch,r
photosynthesismod,photosynthesishydraulicstress,surfalb_type,surfalb_vars,real,vcmaxcintsun_patch,r
photosynthesismod,photosynthesishydraulicstress,solarabs_type,solarabs_vars,real,parsha_z_patch,r
photosynthesismod,photosynthesishydraulicstress,canopystate_type,canopystate_vars,real,laisha_z_patch,r
photosynthesismod,photosynthesishydraulicstress,surfalb_type,surfalb_vars,real,vcmaxcintsha_patch,r
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,kc_patch,w
photosynthesismod,photosynthesishydraulicstress,soilstate_type,soilstate_vars,real,root_conductance_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,mbb_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,kp_z_phs_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,ag_phs_patch,w
photosynthesismod,photosynthesishydraulicstress,soilstate_type,soilstate_vars,real,soil_conductance_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,vcmax_z_phs_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,tpu_z_phs_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,logical,c3flag_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,ap_phs_patch,w
photosynthesismod,photosynthesishydraulicstress,soilstate_type,soilstate_vars,real,k_soil_root_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,ko_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,aj_phs_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,ac_phs_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,cp_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,an_sun_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,an_sha_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,alphapsnsun_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,cisun_z_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,rssun_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,rssun_z_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,lmrsun_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,lmrsun_z_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsun_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsun_z_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsun_wc_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsun_wj_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsun_wp_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,gs_mol_sun_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,alphapsnsha_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,cisha_z_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,rssha_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,rssha_z_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,lmrsha_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,lmrsha_z_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsha_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsha_z_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsha_wc_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsha_wj_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,psnsha_wp_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,gs_mol_sha_patch,w
photosynthesismod,photosynthesishydraulicstress,canopystate_type,canopystate_vars,real,vegwp_patch,w
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,gb_mol_patch,rw
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,bbb_patch,rw
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,qe_patch,rw
photosynthesismod,photosynthesishydraulicstress,photosyns_type,photosyns_vars,real,theta_cj_patch,rw
photosynthesismod,hybrid_phs,vegetation_water_flux,veg_wf,real,veg_wf%qflx_tran_veg,w
photosynthesismod,hybrid_phs,canopystate_type,canopystate_vars,real,vegwp_patch,rw
photosynthesismod,ci_func_phs,topounit_atmospheric_state,top_as,real,top_as%pbot,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,qe_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,vcmax_z_phs_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,kc_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,tpu_z_phs_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,mbb_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,bbb_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,ko_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,logical,c3flag_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,theta_cj_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,kp_z_phs_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,cp_patch,r
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,ap_phs_patch,w
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,ag_phs_patch,w
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,an_sha_patch,w
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,ac_phs_patch,w
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,an_sun_patch,w
photosynthesismod,ci_func_phs,photosyns_type,photosyns_vars,real,aj_phs_patch,w
photosynthesismod,calcstress,canopystate_type,canopystate_vars,real,laisha_patch,r
photosynthesismod,calcstress,canopystate_type,canopystate_vars,real,laisun_patch,r
photosynthesismod,calcstress,vegetation_water_flux,veg_wf,real,veg_wf%qflx_tran_veg,w
photosynthesismod,spaca,vegetation_physical_properties,veg_pp,integer,veg_pp%itype,r
photosynthesismod,spaca,photo_params_type,params_inst,real,params_inst%kmax,r
photosynthesismod,spaca,canopystate_type,canopystate_vars,real,tsai_patch,r
photosynthesismod,spaca,soilstate_type,soilstate_vars,real,k_soil_root_patch,r
photosynthesismod,spaca,canopystate_type,canopystate_vars,real,laisha_patch,r
photosynthesismod,spaca,canopystate_type,canopystate_vars,real,htop_patch,r
photosynthesismod,spaca,canopystate_type,canopystate_vars,real,laisun_patch,r
photosynthesismod,spacf,vegetation_physical_properties,veg_pp,integer,veg_pp%itype,r
photosynthesismod,spacf,photo_params_type,params_inst,real,params_inst%kmax,r
photosynthesismod,spacf,canopystate_type,canopystate_vars,real,tsai_patch,r
photosynthesismod,spacf,soilstate_type,soilstate_vars,real,k_soil_root_patch,r
photosynthesismod,spacf,canopystate_type,canopystate_vars,real,laisha_patch,r
photosynthesismod,spacf,canopystate_type,canopystate_vars,real,htop_patch,r
photosynthesismod,spacf,canopystate_type,canopystate_vars,real,laisun_patch,r
photosynthesismod,spacf,soilstate_type,soilstate_vars,real,smp_l_col,r
photosynthesismod,getvegwp,column_physical_properties,col_pp,real,col_pp%z,r
photosynthesismod,getvegwp,vegetation_physical_properties,veg_pp,integer,veg_pp%itype,r
photosynthesismod,getvegwp,photo_params_type,params_inst,real,params_inst%kmax,r
photosynthesismod,getvegwp,canopystate_type,canopystate_vars,real,tsai_patch,r
photosynthesismod,getvegwp,soilstate_type,soilstate_vars,real,k_soil_root_patch,r
photosynthesismod,getvegwp,canopystate_type,canopystate_vars,real,laisha_patch,r
photosynthesismod,getvegwp,canopystate_type,canopystate_vars,real,htop_patch,r
photosynthesismod,getvegwp,canopystate_type,canopystate_vars,real,laisun_patch,r
photosynthesismod,getvegwp,soilstate_type,soilstate_vars,real,smp_l_col,r
photosynthesismod,getqflx,canopystate_type,canopystate_vars,real,laisun_patch,r
photosynthesismod,getqflx,canopystate_type,canopystate_vars,real,laisha_patch,r
photosynthesismod,getqflx,canopystate_type,canopystate_vars,real,esai_patch,r
photosynthesismod,getqflx,canopystate_type,canopystate_vars,real,elai_patch,r
soilmoiststressmod,calc_effective_soilporosity,column_physical_properties,col_pp,real,col_pp%dz,r
soilmoiststressmod,calc_volumetric_h2oliq,column_physical_properties,col_pp,real,col_pp%dz,r
soilmoiststressmod,normalize_unfrozen_rootfr,vegetation_physical_properties,veg_pp,integer,veg_pp%column,r
soilmoiststressmod,normalize_unfrozen_rootfr,column_energy_state,col_es,real,col_es%t_soisno,r
soilmoiststressmod,calc_root_moist_stress_clm45default,vegetation_physical_properties,veg_pp,integer,veg_pp%column,r
soilmoiststressmod,calc_root_moist_stress_clm45default,vegetation_physical_properties,veg_pp,integer,veg_pp%landunit,r
soilmoiststressmod,calc_root_moist_stress_clm45default,vegetation_physical_properties,veg_pp,integer,veg_pp%itype,r
frictionvelocitymod,frictionvelocity,landunit_physical_properties,lun_pp,integer,lun_pp%gridcell,r
frictionvelocitymod,frictionvelocity,landunit_physical_properties,lun_pp,integer,lun_pp%pfti,r
frictionvelocitymod,frictionvelocity,landunit_physical_properties,lun_pp,integer,lun_pp%pftf,r
frictionvelocitymod,frictionvelocity,vegetation_physical_properties,veg_pp,integer,veg_pp%gridcell,r
canopyfluxesmod,canopyfluxes,vegetation_physical_properties,veg_pp,integer,veg_pp%column,r
canopyfluxesmod,canopyfluxes,vegetation_physical_properties,veg_pp,integer,veg_pp%topounit,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%tbot,r
canopyfluxesmod,canopyfluxes,vegetation_energy_state,veg_es,real,veg_es%t_veg,r
canopyfluxesmod,canopyfluxes,vegetation_energy_state,veg_es,real,veg_es%thm,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%pbot,r
canopyfluxesmod,canopyfluxes,vegetation_physical_properties,veg_pp,integer,veg_pp%gridcell,r
canopyfluxesmod,canopyfluxes,gridcell_physical_properties_type,grc_pp,real,grc_pp%max_dayl,r
canopyfluxesmod,canopyfluxes,gridcell_physical_properties_type,grc_pp,real,grc_pp%dayl,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%h2osoi_ice,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%h2osoi_liq,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%h2osoi_liqvol,r
canopyfluxesmod,canopyfluxes,vegetation_physical_properties,veg_pp,integer,veg_pp%itype,r
canopyfluxesmod,canopyfluxes,vegetation_physical_properties,veg_pp,logical,veg_pp%is_fates,r
canopyfluxesmod,canopyfluxes,gridcell_physical_properties_type,grc_pp,real,grc_pp%londeg,r
canopyfluxesmod,canopyfluxes,topounit_physical_properties,top_pp,integer,top_pp%topo_grc_ind,r
canopyfluxesmod,canopyfluxes,column_energy_state,col_es,real,col_es%t_soisno,r
canopyfluxesmod,canopyfluxes,vegetation_properties_type,veg_vp,real,veg_vp%smpso,r
canopyfluxesmod,canopyfluxes,column_physical_properties,col_pp,real,col_pp%dz,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_flux,top_af,real,top_af%lwrad,r
canopyfluxesmod,canopyfluxes,column_energy_state,col_es,real,col_es%emg,r
canopyfluxesmod,canopyfluxes,vegetation_energy_state,veg_es,real,veg_es%emv,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%pco2bot,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%po2bot,r
canopyfluxesmod,canopyfluxes,column_energy_state,col_es,real,col_es%t_grnd,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%qg,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%qbot,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%ubot,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%vbot,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%ugust,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%tau_est,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%thbot,r
canopyfluxesmod,canopyfluxes,column_energy_state,col_es,real,col_es%thv,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%rhobot,r
canopyfluxesmod,canopyfluxes,topounit_atmospheric_state,top_as,real,top_as%wsresp,r
canopyfluxesmod,canopyfluxes,vegetation_properties_type,veg_vp,real,veg_vp%dleaf,r
canopyfluxesmod,canopyfluxes,vegetation_water_state,veg_ws,real,veg_ws%fdry,r
canopyfluxesmod,canopyfluxes,vegetation_water_state,veg_ws,real,veg_ws%fwet,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%snow_depth,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%frac_sno_eff,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%frac_h2osfc,r
canopyfluxesmod,canopyfluxes,column_physical_properties,col_pp,integer,col_pp%snl,r
canopyfluxesmod,canopyfluxes,column_energy_state,col_es,real,col_es%t_h2osfc,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%qg_snow,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%qg_soil,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%qg_h2osfc,r
canopyfluxesmod,canopyfluxes,vegetation_energy_state,veg_es,real,veg_es%t_ref2m,r
canopyfluxesmod,canopyfluxes,column_water_state,col_ws,real,col_ws%dqgdt,r
canopyfluxesmod,canopyfluxes,column_energy_flux,col_ef,real,col_ef%htvp,r
canopyfluxesmod,canopyfluxes,vegetation_water_flux,veg_wf,integer,veg_wf%n_irrig_steps_left,w
canopyfluxesmod,canopyfluxes,vegetation_water_flux,veg_wf,real,veg_wf%irrig_rate,w
canopyfluxesmod,canopyfluxes,vegetation_water_state,veg_ws,real,veg_ws%rh_af,w
canopyfluxesmod,canopyfluxes,vegetation_water_flux,veg_wf,real,veg_wf%qflx_evap_veg,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%eflx_sh_veg,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%taux,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%tauy,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%eflx_sh_grnd,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%eflx_sh_snow,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%eflx_sh_soil,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%eflx_sh_h2osfc,w
canopyfluxesmod,canopyfluxes,vegetation_water_flux,veg_wf,real,veg_wf%qflx_evap_soi,w
